Doctor ID,Doctor Name,Doctor Score,Scoliosis Type
142,Dr Kathryn C. Calhoun Atlanta GA ,5.0,dextroscoliosislevoscoliosisneuromuscular
143,Dr Kathleen M. Shannon Chicago IL ,4.0,compensatory
144,Dr Elizabeth Fox Naples FL ,4.75,dextroscoliosis
145,Dr MARK E. ZAFEREO Houston TX ,5.0,levoscoliosis
146,Dr Andrew Kim Surrey BC ,4.75,kyphosis
147,Dr SHIRIN BITAJIAN WATERLOO IA ,5.0,idiopathic
148,Dr SAMANTHA L. KANAREK LUMBERTON NJ ,2.25,infantile
149,Victor Tsan Philadelphia PA ,4.0,juvenile
150,Dr Douglas D. Leventhal Oradell NJ ,4.0,lordosis
151,Dr Kam Shojania Vancouver BC ,5.0,adolescent
152,Dr Mervat Kosman Calgary AB ,4.0,adult
153,Dr Laurence A. Jacobs Buffalo Grove IL ,4.5,dextroscoliosisstructuralcompensatory
154,Dr TUESDAY E. PEARSON PORTLAND OR ,5.0,dextroscoliosisfunctional
156,dr molly scotchmer nd oakville on ca,4.0,compensatory
157,Dr M. NIZAR ORFAHLI LEXINGTON KY ,5.0,dextroscoliosis
159,Dr Matthew Schwartz Henderson NV ,5.0,kyphosis
160,Dr Paul R. Brezina Memphis TN ,4.0,idiopathic
161,Dr Rony Dagher Mississauga ON ,5.0,infantile
162,Dr Ronald J. Iannacone Toms River NJ ,4.0,juvenile
163,Dr Yasmine Saad New York NY ,4.75,lordosis
164,Dr ROSALIA C. BURKE Spring TX ,1.25,adolescent
165,dr eric morris montreal qc ca,5.0,adult
166,Dr Advaitanand Manohar Toronto ON ,5.0,dextroscoliosisstructuralcompensatory
167,Dr William L. Soscia UNIVERSITY PARK FL ,4.0,dextroscoliosisfunctional
168,Dr Katherine A. Prinz Omaha NE ,4.0,dextroscoliosislevoscoliosisneuromuscular
170,Justene L. Hahn Toms River NJ ,4.0,dextroscoliosis
171,Dr Maricel Ridella Newport News VA ,3.0,levoscoliosis
172,Dr Alan Lieberman Charleston SC ,3.0,kyphosis
173,Dr Srinivas R. Panja Humble TX ,4.5,idiopathic
174,Dr EMILIE V. CHEUNG Redwood City CA ,4.75,infantile
175,Dr Irene Yu Purchase NY ,4.5,juvenile
176,dr joel richards london on ca,5.0,lordosis
177,Dr STACIA H. GOLDEY Mount Dora FL ,4.5,adolescent
178,dr femida visnani edmonton ab ca,5.0,adult
179,dr ken ansell regina sk ca,5.0,dextroscoliosisstructuralcompensatory
180,dr nawaaz nathoo vancouver bc ca,4.75,dextroscoliosisfunctional
181,Eliz Z. Erman Britton Evans GA ,4.5,dextroscoliosislevoscoliosisneuromuscular
183,Dr Norman Edger Brossard QC ,4.0,dextroscoliosis
184,Dr Eileen Margossian Montreal QC ,4.75,levoscoliosis
185,Dr Farzan Ghannad North Vancouver BC ,5.0,kyphosis
186,Dr CHERYL J. GOREN ROBINS Millburn NJ ,5.0,idiopathic
188,Dr WILLIAM R. Stern Rockville MD ,4.0,juvenile
189,JABKE S. BUESSELER PORTLAND OR ,5.0,lordosis
190,dr alisha nachman oakville on ca,5.0,adolescent
192,Dr Joshua W. Kim VENICE FL ,4.0,dextroscoliosisstructuralcompensatory
193,Dr Alexandra R. Bunyak ENCINITAS CA ,3.0,dextroscoliosisfunctional
194,dr sheena clifton edmonton ab ca,5.0,dextroscoliosislevoscoliosisneuromuscular
195,Dr Kenneth K. Moghadam Austin TX ,4.5,compensatory
196,Dr ALAN B. ZWERDLING Red Bank NJ ,4.0,dextroscoliosis
199,dr nupur bahl brampton on ca,4.25,idiopathic
201,Dr ARSHDEEP TINDNI Lima OH ,4.75,juvenile
203,Dr Laura Schiffer North York ON ,4.0,adolescent
204,Dr Amy T. Light POTOMAC MD ,3.75,adult
205,Dr Beverly F. Gilder LITTLETON CO ,2.0,dextroscoliosisstructuralcompensatory
206,dr matthew bortolussi woodbridge on ca,5.0,dextroscoliosisfunctional
207,Dr Cynthia R. Cernak Kenosha WI ,3.25,dextroscoliosislevoscoliosisneuromuscular
208,Dr Lise Faucher St. Hyacinthe QC ,4.0,compensatory
209,dr jen silver calgary ab ca,5.0,dextroscoliosis
210,Dr BENJAMIN C. Peng New York NY ,4.75,levoscoliosis
211,dr tanoy bose kolkata wb in,5.0,kyphosis
212,Dr SARA J. MUCOWSKI Los Angeles CA ,5.0,idiopathic
213,Dr AKASH G. ANAND New Orleans LA ,5.0,infantile
214,Dr Nabil Loutfy Chipping Norton NSW ,5.0,juvenile
215,Dr AZADEH R. SHIRAZI San Diego CA ,4.5,lordosis
216,Dr Claudia B. Fish Watertown NY ,1.75,adolescent
217,Dr Bridget Holden Colleyville TX ,5.0,adult
218,Dr Satish K. Sondhi Mason City IA ,5.0,dextroscoliosisstructuralcompensatory
220,Dr Altaz Shajani North Vancouver BC ,4.0,dextroscoliosislevoscoliosisneuromuscular
221,Dr Albert Kim Burnaby BC ,4.0,compensatory
222,Dr Michael CHU West Islip NY ,5.0,dextroscoliosis
223,Dr Christopher Moore Peterborough ON ,4.0,levoscoliosis
224,Dr Hala Maal Bared Toronto ON ,5.0,kyphosis
225,Dr DARCY S. MAJKA Chicago IL ,3.25,idiopathic
226,Dr David S. Wander Philadelphia PA ,4.75,infantile
227,Dr KEVIN K. LI WESTMINSTER CA ,5.0,juvenile
228,dr alan gallogly melbourne vic au,3.0,lordosis
229,Dr Jennifer Ahmadian Naperville IL ,2.25,adolescent
230,Dr MICHELLE A. CHICO Shreveport LA ,3.0,adult
232,dr michael w bishara toronto on ca,5.0,dextroscoliosisfunctional
234,Dr RAVI MALLAVARAPU WATERLOO IA ,4.75,compensatory
235,Dr ALEXANDRA C. CHEBIL IRVINE CA ,5.0,dextroscoliosis
236,Dr Stephen B. Lichtenstein Bala Cynwyd PA ,4.0,levoscoliosis
237,Dr SHERRY ROTH Boca Raton FL ,5.0,kyphosis
238,Dr ZIA MUSTAFA MACON GA ,4.75,idiopathic
239,Dr Mamatha K. Agrawal Cary NC ,4.0,infantile
240,Dr Monam Ravaghi Vancouver BC ,3.0,juvenile
242,Dr Steven J. Cyr San Antonio TX ,5.0,adolescent
243,Dr Elizabeth F. Callahan Sarasota FL ,3.25,adult
247,Dr Paul Kyle Sudbury ON ,4.5,compensatory
248,Dr SARA E. ROSENQUIST Chapel Hill NC ,5.0,dextroscoliosis
249,Dr Jill S. Tirpack HOOVER AL ,5.0,levoscoliosis
250,Dr Robin H. Fogle Atlanta GA ,4.75,kyphosis
252,Dr Salvatore Di Maio Montreal QC ,4.0,infantile
253,Dr Beth N. Roland DENVER CO ,3.25,juvenile
254,Dr SUELANE S. DO OURO New York NY ,4.5,lordosis
255,Dr Philip J. Miller New York NY ,5.0,adolescent
256,Dr Michael De Jong Burnaby BC ,4.0,adult
257,Dr Louise Y. Ledbetter COLUMBIA TN ,4.0,dextroscoliosisstructuralcompensatory
259,Dr Melissa S. Lim Redwood City CA ,4.5,dextroscoliosislevoscoliosisneuromuscular
260,Dr Nanda D. Ramsaroop New Hyde Park NY ,4.25,compensatory
263,Dr Philippe Vaillancourt BAY SHORE NY ,2.75,kyphosis
264,dr andrew kiyingi perth wau au,5.0,idiopathic
265,Dr Eric P. Sipos Tucson AZ ,4.75,infantile
267,Dr D. Jim Thompson Albuquerque NM ,4.0,lordosis
268,Dr Sejal Patel Arlington Heights IL ,5.0,adolescent
269,Dr John T. Woeste Jacksonville Beach FL ,2.0,adult
272,Dr Ahmad Saeed Ata Frisco TX ,3.5,dextroscoliosislevoscoliosisneuromuscular
275,Dr G. Varnavas Yakima WA ,5.0,levoscoliosis
276,Dr Christina S. Reuss Scottsdale AZ ,4.75,kyphosis
277,dr rudi hayden pretoria gt za,5.0,idiopathic
279,Dr Ryan Goos Calgary AB ,5.0,juvenile
280,Dr Leo R. Germin Las Vegas NV ,5.0,lordosis
281,dr debra a petrucci greenwich ct us,4.0,adolescent
283,dr bryan kratz maywood il us,5.0,dextroscoliosisstructuralcompensatory
284,Dr Amy McClung Austin TX ,4.25,dextroscoliosisfunctional
286,Dr Thomas P. Trevisani Winter Park FL ,5.0,compensatory
288,Dr Eduardo Ghaname Calgary AB ,5.0,levoscoliosis
289,Dr Susan S. Jordan Newnan GA ,4.5,kyphosis
290,Dr Bernard D. Raxlen New York NY ,3.0,idiopathic
291,Dr Jayme R. Tishon Fredericksburg VA ,2.5,infantile
292,Dr Rachel A. Ruotolo Garden City NY ,4.75,juvenile
294,Dr Marisa Serra Windsor ON ,4.75,adolescent
295,Linda Ottl Brandon FL ,1.0,adult
296,Dr Jason E. Lake Gilbert AZ ,4.75,dextroscoliosisstructuralcompensatory
297,Dr JAMES R. WEBB Tulsa OK ,4.0,dextroscoliosisfunctional
298,Dr Amer Al Karadsheh Houston TX ,3.25,dextroscoliosislevoscoliosisneuromuscular
299,NATALIE KOULOUVARIS BOCA RATON FL ,5.0,compensatory
300,Dr David Gainey Kelowna BC ,4.0,dextroscoliosis
302,Dr Cynthia M. Thaik BURBANK CA ,4.5,kyphosis
303,Dr Amy D. Lichtenfeld New York NY ,2.75,idiopathic
304,kerri flood toronto on ca,5.0,infantile
305,Dr SHANNON L. Price Tallahassee FL ,4.0,juvenile
306,Dr VINAY MADAN Manchester CT ,5.0,lordosis
307,Dr SHASHI BELLUR Conroe TX ,4.0,adolescent
310,Dr Michael S. Oberschneider Ashburn VA ,5.0,dextroscoliosisfunctional
311,Dr JASON D. MATTHEWS Flemington NJ ,3.25,dextroscoliosislevoscoliosisneuromuscular
313,Dr PAUL SFORZA WHITESTONE NY ,5.0,dextroscoliosis
314,Dr Alexander M. Mason Boulder CO ,4.0,levoscoliosis
315,Dr MICHAEL J. SCHWARTZ New Hyde Park NY ,5.0,kyphosis
316,Dr Tahsin Rashid Edmonton AB ,5.0,idiopathic
317,Dr Jennifer J. LOWNEY Norwich CT ,4.5,infantile
318,Dr I. LANE Wong Irvine CA ,4.25,juvenile
319,Dr Lewis H. Semel Boca Raton FL ,3.75,lordosis
320,dr vikram balakrishnan melbourne vic au,5.0,adolescent
321,dr alin lina akopians beverly hills ca us,5.0,adult
323,Dr Michelle Bernatchez Laval QC ,4.0,dextroscoliosisfunctional
324,Dr LESLIE MONTGOMERY NEW YORK NY ,2.5,dextroscoliosislevoscoliosisneuromuscular
325,Dr Jennifer S. Lee Brooklyn NY ,4.75,compensatory
326,Dr Leila Kasrai Toronto ON ,4.0,dextroscoliosis
327,Dr Randall Beckman Houston TX ,4.0,levoscoliosis
328,Dr Joshua Zuckerman Garden City NY ,5.0,kyphosis
329,Dr Corinne Michaud Gatineau QC ,5.0,idiopathic
330,Dr Elisabeth D. Kline Indianapolis IN ,5.0,infantile
331,Dr Hillel D. Cohen Delray Beach FL ,4.0,juvenile
332,Dr Nick Vertzyas Darlinghurst NSW ,5.0,lordosis
333,Dr ALLISON M. PHELPS CINCINNATI OH ,5.0,adolescent
334,Dr Mohammad Asady Mississauga ON ,3.0,adult
335,Dr Francis C. Bandettini SIOUX FALLS SD ,4.0,dextroscoliosisstructuralcompensatory
336,Dr Andrew Danny Wisniewski Greenfield Park QC ,4.75,dextroscoliosisfunctional
337,Dr Paul Chang Toronto ON ,4.5,dextroscoliosislevoscoliosisneuromuscular
338,Dr Gert Tollesson Brisbane QLD ,4.75,compensatory
339,Dr William A. Tierney RICHMOND VA ,5.0,dextroscoliosis
341,Dr SARAH CANTIN LANGLOIS CONCORD MA ,3.0,kyphosis
342,Dr Kishore M. Santwani Geneva IL ,4.0,idiopathic
343,Dr Cynthia L. Mizgala METAIRIE LA ,4.0,infantile
344,Dr Tariq Alsmadi Carrollton TX ,5.0,juvenile
345,Dr Michael Lederman Vancouver BC ,5.0,lordosis
346,Dr Catia Giambattistini North York ON ,4.0,adolescent
347,Dr Darlene Fenech Toronto ON ,4.75,adult
349,Dr Waldo Feng LAS VEGAS NV ,4.5,dextroscoliosisfunctional
350,Dr Javier A. PEREZ Orlando FL ,4.5,dextroscoliosislevoscoliosisneuromuscular
352,Dr Rakesh Malik GERMANTOWN MD ,4.0,dextroscoliosis
353,Dr Kimberly J. Curesky Fairfield CT ,5.0,levoscoliosis
355,Dr Gary Mckay Sydney NSW ,4.25,idiopathic
357,Dr Teck M. Soo Southfield MI ,4.5,juvenile
358,Dr David M. OTT Phoenix AZ ,4.75,lordosis
359,Dr Mike M. Bismar Burleson TX ,4.0,adolescent
360,Dr KUMARAN CHINNAPPAN St. Louis MO ,5.0,adult
363,dr harriet b jacobster monroe ny us,5.0,dextroscoliosislevoscoliosisneuromuscular
364,dr esnielle lacombe ab ca,4.0,compensatory
365,Dr CARLOS J. LEDEZMA LAPEER MI ,4.25,dextroscoliosis
366,MICHELLE M. LEE Rockville MD ,5.0,levoscoliosis
367,Dr CHRISTIE S. HEIKES Edina MN ,5.0,kyphosis
368,Dr Donald G. Bair Portland OR ,4.5,idiopathic
369,Dr SHERIN S. PARVEZ COLUMBIA MO ,4.0,infantile
370,Dr Tahl Colen Bridgewater NJ ,5.0,juvenile
371,Dr Ilana Magder Toronto ON ,3.75,lordosis
372,Dr Dianna Younan Toronto ON ,5.0,adolescent
375,Dr Heather J. Allen Las Vegas NV ,4.5,dextroscoliosisfunctional
377,Dr Todd Ruhl Ancaster ON ,5.0,compensatory
378,dr shaiza mubashar new york ny us,5.0,dextroscoliosis
380,Dr Michael T. Swinyard Ogden UT ,2.0,kyphosis
381,Dr Sarah Jane Batchelor Johannesburg GT ,4.5,idiopathic
382,Dr Jeff Donovan Toronto ON ,4.0,infantile
383,Dr Theresa J. Sohn Wayne NJ ,5.0,juvenile
384,Dr Stephanie D. Croll Savannah GA ,4.0,lordosis
386,Dr Riaan Jeffery Labrador QLD ,4.25,adult
387,dr russell hinton newcastle nsw au,5.0,dextroscoliosisstructuralcompensatory
388,Farideh Abbasi Fairfax VA ,2.0,dextroscoliosisfunctional
389,Dr PAULA J. KRUPPSTADT Conroe TX ,5.0,dextroscoliosislevoscoliosisneuromuscular
390,dr bernadette yin fun yu mississauga on ca,5.0,compensatory
392,Dr SARA P. SIMMONS Bradenton FL ,5.0,levoscoliosis
393,Dr SHOBHA TANDON Union City CA ,5.0,kyphosis
394,Dr Joel E. Portnoy Lake Success NY ,4.75,idiopathic
395,dr naveed a qureshi new york ny us,4.75,infantile
396,dr fadwa el said mississauga on ca,4.0,juvenile
398,Dr Asharaf T. Dabawala Schaumburg IL ,5.0,adolescent
399,dr caitriona ryan dallas tx us,5.0,adult
400,dr bob bogdan zariczniak hamilton on ca,5.0,dextroscoliosisstructuralcompensatory
401,dr sean quigley r ac vancouver bc ca,5.0,dextroscoliosisfunctional
402,Dr Joseph T. BOYER Valhalla NY ,5.0,dextroscoliosislevoscoliosisneuromuscular
403,Dr Vitaly Blatnoy Oviedo FL ,3.5,compensatory
405,dr jonathan m simhaee englewood nj us,5.0,levoscoliosis
406,Dr George Sas York ON ,5.0,kyphosis
407,Dr IRINA KOGAN Brooklyn NY ,2.0,idiopathic
408,Dr SANFORD J. SILVERMAN Scottsdale AZ ,4.0,infantile
410,Dr STACEY GALOWITZ SYOSSET NY ,4.75,lordosis
411,Dr Ramsey Stone Plano TX ,4.75,adolescent
412,dr hanna ian flagstaff az us,5.0,adult
413,Dr George Philteos Ajax ON ,4.0,dextroscoliosisstructuralcompensatory
414,Lucy Cui Hamilton ON ,5.0,dextroscoliosisfunctional
415,Dr Faisal Al Masoudi Grande Prairie AB ,4.0,dextroscoliosislevoscoliosisneuromuscular
416,Dr Eric M. Haas Houston TX ,4.0,compensatory
417,Dr FEDERICO G. SEIFARTH Cleveland OH ,5.0,dextroscoliosis
418,Dr Catherine Johnson Buffalo Grove IL ,5.0,levoscoliosis
419,dr emily lipinski mississauga on ca,4.75,kyphosis
420,Dr Nicolas Christou Montreal QC ,3.0,idiopathic
421,Dr Stephen Tilley Calgary AB ,4.75,infantile
422,Dr Karen M. Horton San Francisco CA ,4.5,juvenile
423,Dr MAY S. THOMASSEE Nashville TN ,5.0,lordosis
424,Dr NIKO KEYS Winfield IL ,4.5,adolescent
428,dr estelle dsouza carey langley bc ca,5.0,dextroscoliosislevoscoliosisneuromuscular
431,Dr Michael Landzberg Markham ON ,4.75,levoscoliosis
432,Dr Andrew Thompson Perth WA ,4.0,kyphosis
434,Dr Ari Mosenkis Cleveland OH ,5.0,infantile
436,Dr Richard Edwards Calgary AB ,4.0,lordosis
437,Dr Timothy J. Canty New York NY ,1.0,adolescent
438,Dr SOPHIA BARNETT Farmington Hills MI ,5.0,adult
439,Dr Robert J. Trautman Memphis TN ,5.0,dextroscoliosisstructuralcompensatory
440,Dr Marilyn Fitzpatrick Westmount QC ,5.0,dextroscoliosisfunctional
442,Dr Susan Brock Saskatoon SK ,4.0,compensatory
444,Dr Megan E. Gardner Bossier City LA ,5.0,levoscoliosis
445,Dr Matthew L. Hansen Gilbert AZ ,4.75,kyphosis
446,Dr Margaret Reiker St. Louis MO ,4.0,idiopathic
448,Dr ERWIN KRUGER Sylmar CA ,5.0,juvenile
450,Dr HEBA ABDULLA FRANKLIN LAKES NJ ,4.0,adolescent
451,dr jean francois racine alma qc ca,5.0,adult
452,Dr MICHAEL G. COTANT Pontiac MI ,5.0,dextroscoliosisstructuralcompensatory
453,Dr Rayden C. Cody Atlanta GA ,5.0,dextroscoliosisfunctional
454,Dr Linh Ba Nguyen Garland TX ,1.0,dextroscoliosislevoscoliosisneuromuscular
455,dr junko lodge vancouver bc ca,4.75,compensatory
456,Dr HYACINTH N. BROWNE Purchase NY ,5.0,dextroscoliosis
457,Dr FIRAS G. KHOURY Lake Oswego OR ,4.0,levoscoliosis
459,dr chinton shah windsor on ca,4.25,idiopathic
460,Dr DAVID OCHS LIBERTY MO ,5.0,infantile
461,Dr Ottawa Easingwood Edmonton AB ,3.5,juvenile
462,Dr Charles L. Caperton Albuquerque NM ,3.0,lordosis
464,Dr Jeffrey Antimarino Greensburg PA ,4.0,adult
465,Dr Farrah Sunderji Calgary AB ,5.0,dextroscoliosisstructuralcompensatory
467,Dr Hanna Reinartz London ENG ,4.0,dextroscoliosislevoscoliosisneuromuscular
468,Dr Joel De Ocampo Scottsdale AZ ,3.0,compensatory
470,Dr Sunita Bhatia Ottawa ON ,4.0,levoscoliosis
471,Dr JOHN H. WINSTON San Antonio TX ,2.5,kyphosis
474,Aik Kim Heng Toronto ON ,5.0,juvenile
475,Dr Paul Sanghera Toronto ON ,5.0,lordosis
476,CHUL S. LEE Gainesville VA ,4.75,adolescent
478,Dr George Bochi Montreal QC ,3.5,dextroscoliosisstructuralcompensatory
479,Dr Jay Mithani Ottawa ON ,4.0,dextroscoliosisfunctional
480,Dr JOSEPH AMALFITANO Traverse City MI ,5.0,dextroscoliosislevoscoliosisneuromuscular
481,Dr MARY C. Fischer Chevy Chase MD ,5.0,compensatory
482,Dr CRAIG I. SCHWARTZ Leawood KS ,2.0,dextroscoliosis
483,ca bc langley monique hallee None,4.75,levoscoliosis
484,Dr Cindy M. DUKE NEW HAVEN CT ,4.0,kyphosis
485,Dr John Rowen Montreal QC ,4.0,idiopathic
486,Dr Ana Martins Montreal QC ,4.5,infantile
487,Dr George J. Alexander LAS VEGAS NV ,5.0,juvenile
488,Dr NAZMUDIN KESHWANI Houston TX ,5.0,lordosis
489,Dr MONICA M. BROWN Jacksonville FL ,4.75,adolescent
491,Dr James Chau Miranda NSW ,5.0,dextroscoliosisstructuralcompensatory
